Datetime,Symbol,RS_Open,Future_15m,Future_30m,Future_60m,Rank
2026-05-27 10:30:00+05:30,COALINDIA.NS,0.2937,-0.0894,0.4359,0.7376,1
2026-05-27 10:45:00+05:30,COALINDIA.NS,-0.2623,0.5257,1.1857,0.302,2
2026-05-27 11:00:00+05:30,COALINDIA.NS,0.5354,0.6565,0.3004,-0.5007,1
2026-05-27 11:15:00+05:30,COALINDIA.NS,0.5946,-0.3537,-0.8733,-1.4924,1
2026-05-27 11:30:00+05:30,COALINDIA.NS,-0.2689,-0.5214,-0.7988,-1.1981,2
2026-05-27 11:45:00+05:30,COALINDIA.NS,-0.4402,-0.2788,-0.6245,-0.7918,2
2026-05-27 12:00:00+05:30,COALINDIA.NS,-0.2303,-0.3467,-0.4026,-0.5032,2
2026-05-27 12:15:00+05:30,COALINDIA.NS,-0.3239,-0.0561,-0.1683,0.4601,2
2026-05-27 12:30:00+05:30,COALINDIA.NS,-0.2152,-0.1123,-0.1011,0.0674,2
2026-05-27 12:45:00+05:30,COALINDIA.NS,0.0054,0.0112,0.6295,0.9105,2
2026-05-27 13:00:00+05:30,COALINDIA.NS,0.0424,0.6182,0.1686,1.2701,1
2026-05-27 13:15:00+05:30,COALINDIA.NS,0.6159,-0.4468,0.2793,1.0836,1
2026-05-27 13:30:00+05:30,COALINDIA.NS,-0.4336,0.7294,1.0996,3.0745,2
2026-05-27 13:45:00+05:30,COALINDIA.NS,0.6856,0.3676,0.8021,1.9271,1
2026-05-27 14:00:00+05:30,COALINDIA.NS,0.4917,0.4329,1.9534,2.7969,1
2026-05-27 14:15:00+05:30,COALINDIA.NS,0.4451,1.514,1.1161,2.3428,1
2026-05-27 14:30:00+05:30,COALINDIA.NS,1.5888,-0.3919,0.8273,1.8289,1
2026-05-27 14:45:00+05:30,COALINDIA.NS,-0.4154,1.224,1.2131,1.9235,2
2026-05-27 15:00:00+05:30,COALINDIA.NS,1.1545,-0.0108,0.9933,0.0972,1
2026-05-27 15:15:00+05:30,COALINDIA.NS,-0.1068,1.0042,0.7019,0.853,2
2026-05-29 09:15:00+05:30,COALINDIA.NS,1.9484,-0.2993,-0.8873,0.6628,1
2026-05-29 09:30:00+05:30,COALINDIA.NS,-0.1985,-0.5897,0.1501,0.2681,2
2026-05-29 09:45:00+05:30,COALINDIA.NS,-0.733,0.7443,1.564,0.3452,2
2026-05-29 10:00:00+05:30,COALINDIA.NS,0.5517,0.8137,0.1178,-0.8137,1
2026-05-29 10:15:00+05:30,COALINDIA.NS,0.9576,-0.6903,-1.2001,-1.3912,1
2026-05-29 10:30:00+05:30,COALINDIA.NS,-0.6778,-0.5133,-0.9304,-0.7165,2
2026-05-29 10:45:00+05:30,COALINDIA.NS,-0.5438,-0.4192,-0.1935,0.1612,2
2026-05-29 11:00:00+05:30,COALINDIA.NS,-0.4057,0.2267,0.2159,0.2591,2
2026-05-29 11:15:00+05:30,COALINDIA.NS,0.2528,-0.0108,0.3554,0.0108,1
2026-05-29 11:30:00+05:30,COALINDIA.NS,-0.0185,0.3662,0.0431,-0.0646,1
2026-05-29 11:45:00+05:30,COALINDIA.NS,0.3551,-0.322,-0.3434,-0.4937,1
2026-05-29 12:00:00+05:30,COALINDIA.NS,-0.0934,-0.0215,-0.1077,-0.5168,2
2026-05-29 12:15:00+05:30,COALINDIA.NS,-0.0941,-0.0861,-0.1508,-0.56,2
2026-05-29 12:30:00+05:30,COALINDIA.NS,-0.092,-0.0647,-0.4096,-0.4742,2
2026-05-29 12:45:00+05:30,COALINDIA.NS,-0.0454,-0.3451,-0.4098,-0.4745,1
2026-05-29 13:00:00+05:30,COALINDIA.NS,-0.0499,-0.0649,-0.0649,0.0216,2
2026-05-29 13:15:00+05:30,COALINDIA.NS,-0.1008,0.0,-0.065,-0.1733,2
