Datetime,Symbol,GAP,Future_15m,Future_30m,Future_60m,Rank
2026-05-19 09:15:00+05:30,DMART.NS,-0.1393,-1.2745,-1.5647,-1.4649,23
2026-05-20 09:15:00+05:30,DMART.NS,-0.5595,0.3177,0.0836,-0.4538,20
2026-05-21 09:15:00+05:30,DMART.NS,0.1009,-1.2882,-1.6823,-1.989,28
2026-05-22 09:15:00+05:30,DMART.NS,0.2636,-0.3836,-0.4728,-0.9432,14
2026-05-25 09:15:00+05:30,DMART.NS,0.804,-0.4348,-0.5507,-0.9034,14
2026-05-26 09:15:00+05:30,DMART.NS,0.464,0.0906,0.071,0.4189,1
2026-05-27 09:15:00+05:30,DMART.NS,0.1245,-0.1099,-0.2564,-0.2076,18
2026-05-29 09:15:00+05:30,DMART.NS,0.4995,-0.2861,-0.2521,-0.3588,8
2026-06-01 09:15:00+05:30,DMART.NS,0.4982,0.6933,0.6365,0.7229,11
2026-06-02 09:15:00+05:30,DMART.NS,-0.9701,-0.104,0.1659,0.4135,24
2026-06-03 09:15:00+05:30,DMART.NS,0.1924,0.9536,1.3846,3.0094,13
2026-06-04 09:15:00+05:30,DMART.NS,-0.0792,0.155,0.0095,0.136,10
2026-06-05 09:15:00+05:30,DMART.NS,0.2537,0.2475,0.1666,-0.119,21
2026-06-08 09:15:00+05:30,DMART.NS,-1.0545,-0.1545,-0.251,-0.9075,20
2026-06-09 09:15:00+05:30,DMART.NS,0.9302,-0.095,-0.1631,-0.2435,6
2026-06-10 09:15:00+05:30,DMART.NS,-0.2908,0.7096,1.8164,1.6299,27
2026-06-11 09:15:00+05:30,DMART.NS,-0.0841,0.5736,0.509,-0.2781,8
2026-06-12 09:15:00+05:30,DMART.NS,1.4472,-0.0999,-0.7992,-0.3546,6
2026-06-15 09:15:00+05:30,DMART.NS,0.8604,0.3448,0.0149,-0.1587,22
2026-06-16 09:15:00+05:30,DMART.NS,0.2684,-0.4715,-0.4595,0.2189,20
